Ligante,Molecular Weight,Net Charge,Net Charge Module,Dipole Moment,Molar Refractivity,Molar Volume,Parachor,Index of Refraction,Surface Tension,Density,Polarizability,RDBE,miLogP,tPSA,natoms,Donors,Acceptors,nviolations,Rotatable Bonds,LogP,Length,Max Length,Extensibility
L21070,292.24,0.0000000,0.0000000,1.209,84.85,264.6,687.8,1.554,45.6,1.1,33.64,4,3.76,40.46,21,2,2,0,1,3.753,10.882,11.708,0.826
L12593,248.14,0.0010000,0.0010000,4.024,66.89,216.7,544.6,1.529,39.8,1.14,26.51,6,1.49,43.37,18,0,3,0,0,2.355,8.715,8.715,0.000
L12666,246.13,0.0010000,0.0010000,2.777,66.45,211.3,532.1,1.541,40.2,1.16,26.34,7,1.33,43.37,18,0,3,0,0,2.276,8.866,9.615,0.749
L12974,250.16,-0.0010000,0.0010000,2.705,69.93,229.9,575.5,1.520,39.2,1.08,27.72,5,1.45,46.53,18,1,3,0,3,2.602,12.089,12.159,0.070
L15338,276.17,-0.0020000,0.0020000,4.030,78.5,257.4,637.3,1.521,37.5,1.07,31.12,6,2.55,46.53,20,1,3,0,4,3.158,10.068,10.658,0.590
L15339,276.37,0.0000000,0.0000000,4.156,78.5,257.4,637.3,1.521,37.5,1.07,31.12,6,2.55,46.53,20,1,3,0,4,3.158,9.685,11.087,1.402
L15849,278.22,0.0009999,0.0009999,1.697,82.55,289.1,686.6,1.482,31.7,0.962,32.72,4,3.61,37.30,20,1,2,0,4,4.127,10.79,11.445,0.655
L17294,278.09,-0.0010000,0.0010000,2.640,78.65,210.3,575.2,1.67,55.9,1.32,31.18,12,3.51,43.37,21,0,3,0,0,3.291,11.68,11.68,0.000
L17296,278.09,-0.0010000,0.0010000,2.674,78.65,210.3,575.2,1.67,55.9,1.32,31.18,12,3.51,43.37,21,0,3,0,0,3.291,11.453,11.453,0.000
L17456,296.14,0.0000000,0.0000000,1.600,82.21,239.4,635.7,1.602,49.6,1.23,32.59,10,3.83,43.37,22,0,3,0,0,3.600,10.387,10.387,0.000
L17474,296.10,-0.0030000,0.0030000,7.321,81.15,226.3,611.3,1.636,53.2,1.309,32.17,11,2.79,52.60,22,0,4,0,1,3.169,10.689,11.938,1.249
L17498,294.09,-0.0010000,0.0010000,2.617,80.39,216.4,595.6,1.665,57.3,1.35,31.87,12,3.41,56.51,22,0,4,0,0,3.111,11.941,12.062,0.121
L20403,238.19,0.0008033,0.0008033,1.163,68.58,229.5,572.4,1.509,38.6,1.038,27.19,3,3.06,40.46,17,2,2,0,1,2.438,8.42,8.42,0.000
L20497,280.20,-0.0010000,0.0010000,1.230,81.68,286.6,683.9,1.481,32.4,0.978,32.38,4,3.83,46.53,20,1,3,0,5,3.629,14.254,14.254,0.000
L20499,280.20,0.0020000,0.0020000,5.847,81.29,280.4,685.4,1.491,35.6,0.99,32.22,4,3.61,46.53,20,1,3,0,5,3.629,13.157,13.921,0.764
L20500,280.20,-0.0010000,0.0010000,2.404,81.68,284.6,682.2,1.485,33,0.985,32.38,4,3.67,46.53,20,1,3,0,5,3.773,14.238,14.402,0.164
L20509,276.21,0.0010000,0.0010000,2.308,79.93,240.9,633.7,1.577,47.8,1.14,31.68,5,3.94,40.46,20,2,2,0,0,4.196,10.253,10.318,0.065
L20525,222.20,0.0010000,0.0010000,1.832,66.8,221,541.7,1.516,36,1,26.48,3,4.83,20.23,16,1,1,0,1,3.466,8.673,8.673,0.000
