Ligante,Molecular Weight,Net Charge,Net Charge Module,Dipole Moment,Molar Refractivity,Molar Volume,Parachor,Index of Refraction,Surface Tension,Density,Polarizability,RDBE,miLogP,tPSA,natoms,Donors,Acceptors,nviolations,Rotatable Bonds,LogP,Length,Max Length,Extensibility
ZINC968468,204.36,-0.010000,0.0100000,0.456,66.64,227.6,533.6,1.497,30.2,0.89,26.42,4,4.77,0,15,0,0,0,0,4.869,8.634,8.96,0.326
ZINC968230,136.23,-0.020000,0.0200000,0.450,43.76,153,349,1.483,27,0.88,17.34,3,3.33,0,10,0,0,0,0,2.999,6.078,6.191,0.113
ZINC968225,136.23,-0.020000,0.0200000,0.369,45.45,159.6,364.9,1.481,27.3,0.853,18.02,3,3.67,0,10,0,0,0,0,3.453,8.325,8.379,0.054
ZINC967595,154.25,0.020000,0.0200000,1.840,47.07,164.9,396,1.482,33.2,0.934,18.66,2,2.6,20,11,1,1,0,1,2.504,8.442,8.486,0.044
ZINC967582,136.24,0.000000,0.0000000,0.418,43.76,153,349,1.483,27,0.88,17.34,3,3.33,0.00,10,0,0,0,0,2.999,6.585,6.615,0.030
ZINC967582,136.23,0.000000,0.0000000,0.377,43.76,153,349,1.483,27,0.88,17.34,3,3.33,0,10,0,0,0,0,2.999,6.625,6.717,0.092
ZINC967579,136.23,0.000000,0.0000000,0.170,43.96,154.9,347.5,1.479,25.3,0.879,17.42,3,3.54,0.00,10,0,0,0,0,2.999,6.742,6.847,0.105
ZINC967566,154.25,0.000000,0.0000000,1.817,45.87,167.1,399.1,1.461,32.4,0.922,18.18,2,2.72,9,11,0,1,0,0,2.744,6.447,6.674,0.227
ZINC967513,136.23,0.010000,0.0100000,0.475,45.35,163.2,368.2,1.467,25.8,0.834,17.98,3,3.62,0.00,10,0,0,0,1,3.309,8.241,8.313,0.072
ZINC86034080,136.23,0.000000,0.0000000,0.434,45.35,163.2,368.2,1.467,25.8,0.834,17.98,3,3.85,0,10,0,0,0,1,3.309,7.714,7.964,0.250
ZINC85644544,152.24,0.000000,0.0000000,1.884,42.27,151.3,364,1.510,33.4,1,17.94,3,2.41,20.23,11,1,1,0,0,1.970,6.959,7.016,0.057
ZINC8418983,136.23,-0.020000,0.0200000,0.473,45.44,163.1,368.3,1.469,25.9,0.835,18.01,3,3.79,0,10,0,0,0,1,3.165,8.368,8.424,0.056
ZINC8234293,204.35,-0.010000,0.0100000,0.599,66.45,230.4,534.8,1.488,29,0.88,26.34,4,5.02,0,15,0,0,1,1,4.725,9.636,9.654,0.018
ZINC8234282,204.35,0.010000,0.0100000,1.133,66.59,28.4,533.3,1.494,29.7,0.89,26.40,4,5.17,0.00,15,0,0,1,0,4.725,8.312,9.241,0.929
ZINC8220462,204.35,-0.020000,0.0200000,0.386,66.47,226.5,529.7,1.498,29.8,0.9,26.35,4,5.81,0.00,15,0,0,1,1,4.725,8.442,8.652,0.210
ZINC70454368,204.35,0.000000,0.0000000,0.590,66.33,228.5,531.2,1.492,29.2,0.89,26.29,4,4.84,0,15,0,0,0,1,4.725,9.252,9.328,0.076
ZINC70451257,204.36,-0.010000,0.0100000,0.581,66.72,239.1,533.4,1.47,24.7,0.854,26.45,4,4.59,0,15,0,0,0,0,4.581,8.419,8.725,0.306
ZINC70450851,204.35,-0.010000,0.0100000,0.520,66.39,227.6,531.6,1.494,29.7,0.89,26.31,4,5.08,0,15,0,0,1,0,4.869,9.485,9.741,0.256
ZINC64624831,204.36,-0.020000,0.0200000,0.289,66.59,228.4,533.3,1.494,29.7,0.89,26.40,4,5.17,0,15,0,0,1,0,4.725,8.694,8.763,0.069
ZINC59778570,204.36,-0.020000,0.0200000,0.289,66.59,228.4,533.3,1.494,29.7,0.89,26.40,4,5.17,0,15,0,0,1,0,4.725,8.694,8.763,0.069
ZINC62237753,204.36,-0.020000,0.0200000,0.566,69.81,236.7,553.5,1.501,29.8,0.862,27.67,4,5.37,0,15,0,0,1,3,4.747,9.765,9.765,0.000
ZINC59778864,204.35,-0.010000,0.0100000,0.328,64.85,217.4,514.2,1.508,31.2,0.93,25.71,4,4.55,0,15,0,0,0,0,4.415,8.416,8.438,0.022
ZINC59778407,204.35,-0.010000,0.0100000,0.694,66.53,225.7,530,1.501,30.4,0.9,26.37,4,4.82,0,15,0,0,0,1,4.869,9.59,9.658,0.068
