,A,B,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D,E,F,G,H,I,J
ZINC968468,0.671433606781364,0.625304013396721,0.671420463125496,0.735580142576323,0.738851202384309,0.633814130381736,0.727538316497671,0.659874621224136,0.6928591304574,0.678567169398663,0.723176286421396,0.778748277333369,0.692293930490478,0.489249764314363,0.64327261963529,0.565076138710494,0.714318252046358,0.594678399964566,0.517945271485396,0.519670238563155
ZINC968230,0.638340117385839,0.504305972789506,0.751117940123301,0.796089284891696,0.7634209179347,0.808766394929712,0.731364332497789,0.685254146665228,0.527113867807906,0.635993389212366,0.599548419297779,0.599138804740508,0.761341820890069,0.239970529206069,0.594846422324126,0.440976006237289,0.752039849331475,0.744499407526038,0.639782221882629,0.303751853545327
ZINC968225,0.707777497033815,0.520822619121672,0.808322028241463,0.835016970664977,0.775208921398705,0.813558756685281,0.813206485736432,0.690375428042188,0.58982841802174,0.651536959392229,0.621702927669228,0.638976539831021,0.802690949675045,0.309098454717986,0.665879334694148,0.461095344239263,0.840800947713973,0.744054618225989,0.674070053024696,0.389054149671595
ZINC967595,0.595168207043938,0.560437441170747,0.607119045338567,0.668347983088835,0.801195637961443,0.616294676849968,0.74957281475238,0.767093944447801,0.647281324068594,0.731769965132858,0.734461299808832,0.656693156263324,0.728911238080747,0.300334057686879,0.644494515436379,0.511467132330496,0.654363412563162,0.730574197077722,0.662964119829528,0.306880657092506
ZINC967582,0.657960582537724,0.501979497175419,0.766944072164655,0.796508958637973,0.787871305568938,0.805627172801086,0.738619322017529,0.685688806429211,0.528783792124106,0.633149296981613,0.601860608071285,0.601878806717963,0.768262716789662,0.2341720965691,0.588438137077505,0.445510438843663,0.760231308685947,0.740265518662316,0.674566553820755,0.328896227131681
ZINC967579,0.672733364402828,0.487956944498738,0.77812161796824,0.802499594330399,0.779095980108558,0.810062808750145,0.746259469792103,0.674754657859681,0.530720196711886,0.631353885663963,0.590436900858988,0.605288604301047,0.767527423955689,0.241997104897102,0.600751289987898,0.432130059591337,0.770914099781298,0.733494784272997,0.678746629542105,0.342133659539496
ZINC967566,0.621932070441515,0.547452612495923,0.675448584287772,0.729940137543229,0.804532291334226,0.699460378876051,0.72740174351726,0.764938743867537,0.58422409663628,0.716801835266263,0.650938304230134,0.64241667904537,0.76848943859516,0.254318476202096,0.614937717562497,0.490231753545869,0.694124481572414,0.800544578108797,0.720949230703011,0.315525171739043
ZINC967513,0.739733142002578,0.495136584726956,0.825873518567671,0.841816110394464,0.776634216846471,0.8115742277986,0.825621237947321,0.688575505810117,0.59445011285182,0.652592685794461,0.603175752419869,0.649464421659088,0.823854164418122,0.315407789968397,0.679339163262018,0.436271779117897,0.853403928050471,0.757222602491639,0.712333958707083,0.41123930698897
ZINC86034080,0.743797788862933,0.483644153459264,0.817860109881124,0.829838486268969,0.778170578130861,0.805967685277544,0.809110834125583,0.676479457248158,0.5734117231178,0.65286155524568,0.59347327815686,0.640021226100528,0.796977335889876,0.298610960233731,0.664055370919928,0.426265998170256,0.834217438510308,0.753876629967615,0.72025232986165,0.412049843396601
ZINC85644544,0.525518451633916,0.58351384442476,0.561929652685117,0.619650314433152,0.786134011283174,0.595972374865015,0.656550249449065,0.752051512577873,0.548510606958899,0.693288340017804,0.708911974254568,0.580711073188962,0.669584849090519,0.188633909090193,0.534756159637332,0.543075460755662,0.59612020063136,0.700699863692613,0.625854526869468,0.223088449535678
ZINC8418983,0.726987496252665,0.498841851060458,0.813704506461374,0.834891221284702,0.762103840483023,0.807465288442396,0.822514386431763,0.685389768310851,0.598701779723501,0.650360778638686,0.602229617072817,0.646132054394763,0.817260090253671,0.323090999668177,0.686272683981149,0.438251789852494,0.850336377945939,0.75348676076871,0.692896230097688,0.40380117539994
ZINC8234293,0.709292268132674,0.576029058206501,0.702660845605617,0.748324931234837,0.692643125522505,0.648159386539703,0.692245190026276,0.615775502725014,0.682637145251932,0.621175656279817,0.665346438020743,0.734385188183669,0.666356455063369,0.543512785866938,0.623016759160304,0.523257156953534,0.715470984389665,0.558232596191327,0.499754579723669,0.576389695006096
ZINC8234282,0.60543189213352,0.541454821115201,0.607541458269305,0.636914375219294,0.61405258267861,0.597609637677434,0.606044467536078,0.558129968336493,0.515042401012271,0.586269983300127,0.581337526884015,0.558947127650433,0.558248609934927,0.337382635777401,0.535717690313028,0.490634029800476,0.635617010599078,0.550395811818235,0.476928301438494,0.410756912069263
ZINC8220462,0.681404806525887,0.579739821175483,0.689050878020545,0.744976144019025,0.684687148592167,0.658505436155696,0.672435268286576,0.600765385175936,0.642665841105433,0.617517593719339,0.663608475337261,0.707318057302358,0.641191885576947,0.520791743443597,0.603962394011731,0.52275628139737,0.697985886254273,0.554436893459279,0.47147013843197,0.536116285309511
ZINC70454368,0.684362921422976,0.609958675691839,0.677546894216883,0.730803032520621,0.738519202735852,0.628519787178471,0.72946617172527,0.655413567633845,0.706108142573466,0.660664662363243,0.7093064825062,0.780728497064809,0.704681033217408,0.500355423069876,0.642323106396594,0.555704313240797,0.717961323585771,0.591431410523945,0.534985743939491,0.55087618573894
ZINC70451257,0.694535997503342,0.560284391729776,0.686794096641628,0.75007856513134,0.721489595496118,0.638686354865198,0.733093330590827,0.65223820530486,0.704866135934057,0.672889130025763,0.671254249869351,0.808758523723791,0.706279691388427,0.502787564208621,0.661718016861829,0.497234375434416,0.72036819597887,0.59715107470043,0.530234277632877,0.526933232294858
ZINC70450851,0.702682029811578,0.584751586263863,0.694696113727483,0.741443270408585,0.691546754814788,0.645029548633379,0.688837931147333,0.612718147672786,0.666143831855475,0.630502503707894,0.669680984081739,0.722323146970812,0.648980337637634,0.52293356578941,0.618733947778932,0.531878467233907,0.711050139740494,0.556286475261073,0.494298530173658,0.56354896580381
ZINC64624831,0.674125563387304,0.585022506433468,0.693972857011896,0.753020255971097,0.694054944262546,0.660824520002193,0.674681166629004,0.612747096170693,0.653468289085047,0.618753105854263,0.67410051831805,0.71859047068119,0.65203507483168,0.513637151222907,0.599957809884872,0.52849715711351,0.698501040763761,0.552071005963485,0.471500498076903,0.521852660911655
ZINC62237753,0.685695775000116,0.561701579735436,0.662325255275091,0.706463923853475,0.64798617167511,0.6093772203453,0.665045666858044,0.582750256961231,0.676663232266857,0.59179844374366,0.640833524650286,0.714808370784645,0.639407865152405,0.591857103642268,0.618051745227423,0.509074882052863,0.684794480518677,0.529645677980677,0.464803234383895,0.590823016066646
ZINC59778864,0.641382056449607,0.664451775946842,0.670793428443378,0.739819188915851,0.769086550611411,0.650426104540548,0.715539982130502,0.685035753827865,0.680193339395097,0.674159655313728,0.753997200068126,0.758894060223249,0.709302711383702,0.448729572842266,0.615167887847775,0.605729321690394,0.706808146040267,0.604372519410427,0.519080836163801,0.473530275098507
ZINC59778407,0.672743934256761,0.634778614106181,0.668396338634168,0.7240446995677,0.72894239062699,0.622705397468999,0.730729386921405,0.658129400875753,0.717294313772017,0.662162566466946,0.724577673416074,0.775358046212289,0.700927763392403,0.514292101714666,0.648656369204319,0.577927851180665,0.71867571616877,0.590120016316858,0.521923238570089,0.544386398935099
ZINC59587341,0.694675235727278,0.576776544689975,0.693773484893195,0.741854010635674,0.6783608477943,0.645130269454793,0.686514456101799,0.608834038781019,0.682121470646064,0.614714375933255,0.661139389794172,0.72544466569902,0.658848654250894,0.553118967851365,0.624035434103611,0.52173114589143,0.710430355447054,0.553340933507239,0.484585958559417,0.564208250224546
ZINC59585923,0.668917960435,0.565096312707306,0.676345103818634,0.733610238472422,0.663925385578732,0.647757391382508,0.665192983053113,0.592668405858525,0.643445095585876,0.610714112305662,0.646572780721561,0.701957270633639,0.635191803327844,0.5298400339803,0.609176720003712,0.505895927068286,0.689094269755469,0.548119779201877,0.459753905524661,0.522441149259867
ZINC5735752,0.619841255601138,0.601692344987964,0.655450441206249,0.700763483114783,0.761238133215387,0.658951615420448,0.740478318903887,0.825009101833524,0.647632262839577,0.741738299083838,0.660250733623868,0.652056866168691,0.788573629699124,0.278766231573085,0.640473732127014,0.538394037099931,0.713058014127128,0.845993317053896,0.736289126508812,0.320775063077657
