categoria,rank_medio
0.00a0.30,536.50
0.00a0.30,313.50
0.00a0.30,560
0.30a0.35,473.50
0.30a0.35,538.80
0.30a0.35,548.33
0.30a0.35,563.80
0.30a0.35,553
0.30a0.35,554.00
0.30a0.35,394
0.30a0.35,563.67
0.30a0.35,251.75
0.30a0.35,564
0.30a0.35,564.00
0.36a0.40,49.50
0.36a0.40,547
0.36a0.40,133.00
0.36a0.40,549.40
0.36a0.40,560.50
0.36a0.40,525
0.41a0.50,561.20
0.41a0.50,377.20
0.41a0.50,547.00
0.41a0.50,563
0.41a0.50,563.25
0.41a0.50,528.33
0.41a0.50,428.25
0.41a0.50,561.00
0.41a0.50,488.00
0.41a0.50,485.00
0.41a0.50,318.67
0.41a0.50,562.50
0.41a0.50,537.25
0.41a0.50,218.50
0.41a0.50,442.00
0.41a0.50,53.50
0.41a0.50,351
0.41a0.50,460.80
0.41a0.50,552
0.41a0.50,348
0.41a0.50,163.50
0.41a0.50,459.50
0.41a0.50,221.50
0.41a0.50,559
0.41a0.50,417.33
0.41a0.50,515.40
0.41a0.50,199.25
0.41a0.50,473.00
0.41a0.50,535
0.41a0.50,479.50
0.41a0.50,543.00
0.41a0.50,562
0.41a0.50,432.50
0.41a0.50,534.50
0.41a0.50,559.25
0.41a0.50,522
0.51a0.55,542.60
0.51a0.55,146.00
0.51a0.55,326.00
0.51a0.55,403.50
0.51a0.55,513.50
0.51a0.55,275
0.51a0.55,549
0.51a0.55,284.50
0.51a0.55,223
0.51a0.55,508
0.51a0.55,321
0.51a0.55,389.00
0.51a0.55,420.50
0.51a0.55,389.50
0.51a0.55,544.50
0.51a0.55,496.00
0.51a0.55,539
0.51a0.55,222.20
0.51a0.55,490.50
0.51a0.55,26.50
0.51a0.55,259.67
0.51a0.55,557.00
0.51a0.55,8.50
0.51a0.55,155.25
0.51a0.55,234.50
0.51a0.55,150.50
0.51a0.55,441
0.51a0.55,51.00
0.51a0.55,206.00
0.51a0.55,204.00
0.51a0.55,267.00
0.51a0.55,398.00
0.51a0.55,243
0.51a0.55,560
0.51a0.55,63.00
0.51a0.55,428
0.51a0.55,240.80
0.56a0.60,437.00
0.56a0.60,11.00
0.56a0.60,13.00
0.56a0.60,466.50
0.56a0.60,520.50
0.56a0.60,84.75
0.56a0.60,281
0.56a0.60,477.50
0.56a0.60,121.50
0.56a0.60,501.50
0.56a0.60,430.20
0.56a0.60,506.50
0.56a0.60,153
0.56a0.60,473.60
0.56a0.60,420
0.56a0.60,558
0.56a0.60,427
0.56a0.60,298
0.56a0.60,557
0.56a0.60,432.33
0.56a0.60,283.50
0.56a0.60,227.50
0.56a0.60,479.20
0.56a0.60,451
0.56a0.60,457
0.56a0.60,504.00
0.56a0.60,209.75
0.56a0.60,372
0.56a0.60,432
0.56a0.60,402
0.56a0.60,422.50
0.56a0.60,421.00
0.56a0.60,470.50
0.56a0.60,348
0.56a0.60,414
0.56a0.60,536.00
0.56a0.60,456.20
0.56a0.60,471.80
0.56a0.60,12.50
0.56a0.60,182.80
0.56a0.60,510.67
0.56a0.60,381
0.56a0.60,278.00
0.56a0.60,232
0.56a0.60,86.00
0.56a0.60,474.50
0.56a0.60,523.00
0.56a0.60,436.50
0.56a0.60,259.50
0.56a0.60,431
0.56a0.60,515
0.56a0.60,490.33
0.56a0.60,507.33
0.56a0.60,434.80
0.56a0.60,160.50
0.56a0.60,399.20
0.56a0.60,481.20
0.56a0.60,435.20
0.56a0.60,499.00
0.56a0.60,207.00
0.56a0.60,144.67
0.56a0.60,297.00
0.56a0.60,169.20
0.56a0.60,441.60
0.56a0.60,77.00
0.56a0.60,402.00
0.56a0.60,84.50
0.56a0.60,450.00
0.56a0.60,524.00
0.56a0.60,439.20
0.56a0.60,436.00
0.56a0.60,188
0.56a0.60,196
0.56a0.60,250
0.56a0.60,414.50
0.56a0.60,522.00
0.56a0.60,73.50
0.56a0.60,90.50
0.56a0.60,457
0.56a0.60,113.50
0.56a0.60,171.00
0.56a0.60,311.50
0.56a0.60,212
0.56a0.60,429.25
0.56a0.60,530.00
0.56a0.60,392.50
0.56a0.60,183
0.56a0.60,499.00
0.56a0.60,337.80
0.56a0.60,230
0.56a0.60,230.00
0.56a0.60,357
0.56a0.60,200.00
0.61a0.65,224.50
0.61a0.65,419.67
0.61a0.65,150.00
0.61a0.65,199.00
0.61a0.65,247
0.61a0.65,399.00
0.61a0.65,263
0.61a0.65,446.67
0.61a0.65,474.50
0.61a0.65,456.00
0.61a0.65,496.50
0.61a0.65,198.50
0.61a0.65,135.50
0.61a0.65,142.50
0.61a0.65,115.50
0.61a0.65,324.50
0.61a0.65,527
0.61a0.65,359.00
0.61a0.65,115.50
0.61a0.65,456.00
0.61a0.65,311.00
0.61a0.65,469.60
0.61a0.65,266.00
0.61a0.65,131.50
0.61a0.65,218.50
0.61a0.65,315
0.61a0.65,192
0.61a0.65,489.67
0.61a0.65,477.20
0.61a0.65,446.00
0.61a0.65,168.50
0.61a0.65,375.60
0.61a0.65,479.50
0.61a0.65,237.00
0.61a0.65,395.50
0.61a0.65,148.00
0.61a0.65,473.00
0.61a0.65,335.00
0.61a0.65,434.00
0.61a0.65,183.50
0.61a0.65,151.50
0.61a0.65,515.25
0.61a0.65,55.50
0.61a0.65,350.50
0.61a0.65,479
0.61a0.65,108.00
0.61a0.65,430
0.61a0.65,112.00
0.61a0.65,423.00
0.61a0.65,305.00
0.61a0.65,173.50
0.61a0.65,509.67
0.61a0.65,301.00
0.61a0.65,79.50
0.61a0.65,168.00
0.61a0.65,442.00
0.61a0.65,216.00
0.61a0.65,213.75
0.61a0.65,63.50
0.61a0.65,268.20
0.61a0.65,238.50
0.61a0.65,326
0.61a0.65,337.50
0.61a0.65,115.50
0.61a0.65,354.00
0.61a0.65,208.50
0.61a0.65,344.50
0.61a0.65,175.00
0.61a0.65,458.00
0.61a0.65,189.20
0.61a0.65,433
0.61a0.65,416.00
0.61a0.65,230.50
0.61a0.65,424.00
0.61a0.65,106.00
0.61a0.65,172.50
0.61a0.65,370.00
0.61a0.65,274.50
0.61a0.65,190.50
0.61a0.65,285.00
0.61a0.65,445.25
0.61a0.65,442.50
0.61a0.65,274.00
0.61a0.65,229.25
0.61a0.65,258.60
0.61a0.65,371.00
0.61a0.65,205.00
0.61a0.65,135.50
0.61a0.65,257.00
0.61a0.65,516
0.61a0.65,433.33
0.61a0.65,90.00
0.61a0.65,179.00
0.61a0.65,115.50
0.61a0.65,68.00
0.61a0.65,23.50
0.61a0.65,214.80
0.61a0.65,233.50
0.61a0.65,79.00
0.61a0.65,132.50
0.61a0.65,253.40
0.61a0.65,182.50
0.61a0.65,419.75
0.61a0.65,195.80
0.61a0.65,245.60
0.61a0.65,196.00
0.61a0.65,122.50
0.61a0.65,366.50
0.61a0.65,323.00
0.61a0.65,115.50
0.61a0.65,190.00
0.61a0.65,140.50
0.61a0.65,85.75
0.61a0.65,187
0.61a0.65,283.00
0.61a0.65,234.00
0.61a0.65,248.50
0.61a0.65,102.00
0.61a0.65,90.50
0.61a0.65,271.00
0.61a0.65,282.50
0.61a0.65,204.50
0.61a0.65,325.00
0.61a0.65,331
0.61a0.65,217.67
0.61a0.65,127.50
0.61a0.65,206.00
0.61a0.65,393.00
0.61a0.65,126.00
0.61a0.65,33.00
0.61a0.65,240.80
0.61a0.65,209.00
0.61a0.65,441.75
