,AChE,EcNR,JHBP,MET,GABAaR-Ago,GABAaR-Ant,OctpR-Ago,OctpR-Ant
ZINC968468,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC968230,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC968225,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC967595,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC967582,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC967579,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC967566,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC967513,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC86034080,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC85644544,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC8418983,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC8234293,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC8234282,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC8220462,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC70454368,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC70451257,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC70450851,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC64624831,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC62237753,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC59778864,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC59778407,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC59587341,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC59585923,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC5735752,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC5227717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZINC49538669,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZINC409176,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZINC38139375,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC34117700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZINC33943706,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZINC30730221,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC2510193,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC2242633,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC2169363,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC2123310,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC2083320,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC2035755,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC2034639,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC2019619,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC1849759,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC1648304,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC1599725,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC1599359,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC1531618,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC1531550,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC1531148,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC1530331,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC1529230,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC1529210,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC15121415,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC14590585,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC14588411,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC143826668,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC141880133,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC139054025,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC13373002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ZINC1063075,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC104883029,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC104876494,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC100780735,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ZINC100191743,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ZINC100086523,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
