Ligand,Ordem,Affinity,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
4iodo-4tetrahydroacridindecoy50,1,"-74,0",0,1,1,0,"0,0013","0,0000",,"0,000","0,0000","0,0013",,
2iodo-4tetrahydroacridindecoy29,2,"-70,9",0,1,2,0,"0,0026","0,0000",,"0,000","0,0000","0,0026",,
4iodo-4tetrahydroacridindecoy20,3,"-70,6",0,1,3,0,"0,0038","0,0000",,"0,000","0,0000","0,0038",,
2iodo-4tetrahydroacridindecoy24,4,"-69,7",0,1,4,0,"0,0051","0,0000",,"0,000","0,0000","0,0051",,
2iodo-4tetrahydroacridindecoy47,5,"-69,7",0,1,5,0,"0,0064","0,0000",,"0,000","0,0000","0,0064",,
4iodo-4tetrahydroacridindecoy18,6,"-69,6",0,1,6,0,"0,0077","0,0000",,"0,000","0,0000","0,0077",,
Bis-tacrine,7,"-69,0",1,0,6,1,"0,0090","0,0625",,"0,143","6,9731","0,0090",,
Bis-tacrinedecoy3,8,"-68,8",0,1,7,1,"0,0102","0,0625",,"0,125","6,1014","0,0102",,
4iodo-4tetrahydroacridindecoy19,9,"-68,4",0,1,8,1,"0,0115","0,0625",,"0,111","5,4235","0,0115",,
2iodo-3tetrahydroacridindecoy40,10,"-68,4",0,1,9,1,"0,0128","0,0625",,"0,100","4,8811","0,0128",,
Bis-tacrinedecoy17,11,"-68,0",0,1,10,1,"0,0141","0,0625",,"0,091","4,4374","0,0141",,
Bis-tacrinedecoy28,12,"-67,9",0,1,11,1,"0,0154","0,0625",,"0,083","4,0676","0,0154",,
2iodo-4tetrahydroacridindecoy22,13,"-67,6",0,1,12,1,"0,0166","0,0625",,"0,077","3,7547","0,0166",,
2iodo-4tetrahydroacridindecoy23,14,"-67,0",0,1,13,1,"0,0179","0,0625",,"0,071","3,4865","0,0179",,
Bis-tacrinedecoy30,15,"-66,9",0,1,14,1,"0,0192","0,0625",,"0,067","3,2541","0,0192",,
Bis-tacrinedecoy31,16,"-66,9",0,1,15,1,"0,0205","0,0625",,"0,063","3,0507","0,0205",,
2iodo-4tetrahydroacridindecoy43,17,"-66,7",0,1,16,1,"0,0218","0,0625",,"0,059","2,8713","0,0218",,
4iodo-4tetrahydroacridindecoy45,18,"-66,7",0,1,17,1,"0,0230","0,0625",,"0,056","2,7117","0,0230",,
2iodo-3tetrahydroacridindecoy39,19,"-66,5",0,1,18,1,"0,0243","0,0625",,"0,053","2,5690","0,0243",,
Bis-tacrinedecoy16,20,"-66,5",0,1,19,1,"0,0256","0,0625",,"0,050","2,4406","0,0256",,
4iodo-4tetrahydroacridindecoy16,21,"-66,5",0,1,20,1,"0,0269","0,0625",,"0,048","2,3244","0,0269",,
2iodo-4tetrahydroacridindecoy28,22,"-66,1",0,1,21,1,"0,0282","0,0625",,"0,045","2,2187","0,0282",,
Bis-tacrinedecoy46,23,"-66,0",0,1,22,1,"0,0294","0,0625",,"0,043","2,1222","0,0294",,
Bis-tacrinedecoy38,24,"-66,0",0,1,23,1,"0,0307","0,0625",,"0,042","2,0338","0,0307",,
2iodo-4tetrahydroacridindecoy6,25,"-65,9",0,1,24,1,"0,0320","0,0625",,"0,040","1,9525","0,0320",,
4iodo-4tetrahydroacridindecoy8,26,"-65,6",0,1,25,1,"0,0333","0,0625",,"0,038","1,8774","0,0333",,
Bis-tacrinedecoy35,27,"-65,4",0,1,26,1,"0,0346","0,0625",,"0,037","1,8078","0,0346",,
2iodo-3tetrahydroacridindecoy20,28,"-65,1",0,1,27,1,"0,0359","0,0625",,"0,036","1,7433","0,0359",,
Bis-tacrinedecoy36,29,"-64,8",0,1,28,1,"0,0371","0,0625",,"0,034","1,6832","0,0371",,
4iodo-3tetrahydroacridindecoy50,30,"-64,8",0,1,29,1,"0,0384","0,0625",,"0,033","1,6270","0,0384",,
2iodo-4tetrahydroacridindecoy26,31,"-64,8",0,1,30,1,"0,0397","0,0625",,"0,032","1,5746","0,0397",,
2iodo-2tetrahydroacridindecoy19,32,"-64,5",0,1,31,1,"0,0410","0,0625",,"0,031","1,5254","0,0410",,
4iodo-4tetrahydroacridindecoy33,33,"-64,4",0,1,32,1,"0,0423","0,0625",,"0,030","1,4791","0,0423",,
4iodo-3tetrahydroacridindecoy14,34,"-64,4",0,1,33,1,"0,0435","0,0625",,"0,029","1,4356","0,0435",,
2iodo-3tetrahydroacridindecoy49,35,"-64,3",0,1,34,1,"0,0448","0,0625",,"0,029","1,3946","0,0448",,
2iodo-3tetrahydroacridindecoy29,36,"-64,0",0,1,35,1,"0,0461","0,0625",,"0,028","1,3559","0,0461",,
2iodo-3tetrahydroacridindecoy19,37,"-63,9",0,1,36,1,"0,0474","0,0625",,"0,027","1,3192","0,0474",,
4iodo-3tetrahydroacridindecoy13,38,"-63,9",0,1,37,1,"0,0487","0,0625",,"0,026","1,2845","0,0487",,
Bis-tacrinedecoy44,39,"-63,7",0,1,38,1,"0,0499","0,0625",,"0,026","1,2516","0,0499",,
Bis-tacrinedecoy11,40,"-63,5",0,1,39,1,"0,0512","0,0625",,"0,025","1,2203","0,0512",,
