Ligand,ordem,Affinity_mean,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
4iodo-4tetrahydroacridindecoy50,1,"-70,2",0,1,1,0,"0,001","0,000",,"0,000","0,0000","0,001",,
2iodo-4tetrahydroacridindecoy29,2,"-69,2",0,1,2,0,"0,003","0,000",,"0,000","0,0000","0,003",,
4iodo-4tetrahydroacridindecoy20,3,"-69,0",0,1,3,0,"0,004","0,000",,"0,000","0,0000","0,004",,
Bis-tacrine,4,"-68,7",1,0,3,1,"0,005","0,063",,"0,250","12,2029","0,005",,
2iodo-4tetrahydroacridindecoy24,5,"-68,6",0,1,4,1,"0,006","0,063",,"0,200","9,7623","0,006",,
4iodo-4tetrahydroacridindecoy18,6,"-68,1",0,1,5,1,"0,008","0,063",,"0,167","8,1352","0,008",,
2iodo-4tetrahydroacridindecoy47,7,"-67,2",0,1,6,1,"0,009","0,063",,"0,143","6,9731","0,009",,
Bis-tacrinedecoy17,8,"-66,7",0,1,7,1,"0,010","0,063",,"0,125","6,1014","0,010",,
Bis-tacrinedecoy28,9,"-66,7",0,1,8,1,"0,012","0,063",,"0,111","5,4235","0,012",,
4iodo-4tetrahydroacridindecoy19,10,"-66,2",0,1,9,1,"0,013","0,063",,"0,100","4,8811","0,013",,
2iodo-4tetrahydroacridindecoy22,11,"-66,2",0,1,10,1,"0,014","0,063",,"0,091","4,4374","0,014",,
2iodo-3tetrahydroacridindecoy40,12,"-65,6",0,1,11,1,"0,015","0,063",,"0,083","4,0676","0,015",,
4iodo-4tetrahydroacridindecoy45,13,"-65,6",0,1,12,1,"0,017","0,063",,"0,077","3,7547","0,017",,
2iodo-4tetrahydroacridindecoy28,14,"-65,6",0,1,13,1,"0,018","0,063",,"0,071","3,4865","0,018",,
Bis-tacrinedecoy30,15,"-65,5",0,1,14,1,"0,019","0,063",,"0,067","3,2541","0,019",,
4iodo-4tetrahydroacridindecoy16,16,"-65,2",0,1,15,1,"0,020","0,063",,"0,063","3,0507","0,020",,
Bis-tacrinedecoy3,17,"-65,0",0,1,16,1,"0,022","0,063",,"0,059","2,8713","0,022",,
Bis-tacrinedecoy16,18,"-65,0",0,1,17,1,"0,023","0,063",,"0,056","2,7117","0,023",,
2iodo-4tetrahydroacridindecoy43,19,"-65,0",0,1,18,1,"0,024","0,063",,"0,053","2,5690","0,024",,
Bis-tacrinedecoy46,20,"-64,9",0,1,19,1,"0,026","0,063",,"0,050","2,4406","0,026",,
2iodo-4tetrahydroacridindecoy6,21,"-64,5",0,1,20,1,"0,027","0,063",,"0,048","2,3244","0,027",,
Bis-tacrinedecoy31,22,"-64,4",0,1,21,1,"0,028","0,063",,"0,045","2,2187","0,028",,
2iodo-4tetrahydroacridindecoy23,23,"-63,9",0,1,22,1,"0,029","0,063",,"0,043","2,1222","0,029",,
4iodo-3tetrahydroacridindecoy14,24,"-63,6",0,1,23,1,"0,031","0,063",,"0,042","2,0338","0,031",,
4iodo-4tetrahydroacridindecoy33,25,"-63,6",0,1,24,1,"0,032","0,063",,"0,040","1,9525","0,032",,
4iodo-3tetrahydroacridindecoy13,26,"-63,4",0,1,25,1,"0,033","0,063",,"0,038","1,8774","0,033",,
Bis-tacrinedecoy38,27,"-63,4",0,1,26,1,"0,035","0,063",,"0,037","1,8078","0,035",,
4iodo-4tetrahydroacridindecoy8,28,"-63,1",0,1,27,1,"0,036","0,063",,"0,036","1,7433","0,036",,
2iodo-3tetrahydroacridindecoy19,29,"-63,1",0,1,28,1,"0,037","0,063",,"0,034","1,6832","0,037",,
Bis-tacrinedecoy36,30,"-63,1",0,1,29,1,"0,038","0,063",,"0,033","1,6270","0,038",,
Bis-tacrinedecoy35,31,"-63,0",0,1,30,1,"0,040","0,063",,"0,032","1,5746","0,040",,
2iodo-2tetrahydroacridindecoy19,32,"-62,9",0,1,31,1,"0,041","0,063",,"0,031","1,5254","0,041",,
2iodo-3tetrahydroacridindecoy39,33,"-62,7",0,1,32,1,"0,042","0,063",,"0,030","1,4791","0,042",,
Bis-tacrinedecoy26,34,"-62,4",0,1,33,1,"0,044","0,063",,"0,029","1,4356","0,044",,
4iodo-4tetrahydroacridindecoy14,35,"-62,4",0,1,34,1,"0,045","0,063",,"0,029","1,3946","0,045",,
2iodo-3tetrahydroacridindecoy20,36,"-62,3",0,1,35,1,"0,046","0,063",,"0,028","1,3559","0,046",,
2iodo-3tetrahydroacridindecoy49,37,"-62,3",0,1,36,1,"0,047","0,063",,"0,027","1,3192","0,047",,
