Ligand,Ordem,Affinity,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
4iodo-3tetrahydroacridindecoy31,1,"-12,5",0,1,1,0,"0,0013","0,0000",,"0,000","0,0000","0,001",,
2iodo-4tetrahydroacridindecoy26,2,"-12,2",0,1,2,0,"0,0026","0,0000",,"0,000","0,0000","0,003",,
2iodo-4tetrahydroacridindecoy43,3,"-12,2",0,1,3,0,"0,0038","0,0000",,"0,000","0,0000","0,004",,
4iodo-4tetrahydroacridindecoy50,4,"-12,1",0,1,4,0,"0,0051","0,0000",,"0,000","0,0000","0,005",,
2iodo-3tetrahydroacridindecoy32,5,"-12,1",0,1,5,0,"0,0064","0,0000",,"0,000","0,0000","0,006",,
4iodo-3tetrahydroacridindecoy46,6,"-12,1",0,1,6,0,"0,0077","0,0000",,"0,000","0,0000","0,008",,
Bis-tacrinedecoy3,7,"-12,1",0,1,7,0,"0,0090","0,0000",,"0,000","0,0000","0,009",,
Bis-tacrinedecoy41,8,"-12,0",0,1,8,0,"0,0102","0,0000",,"0,000","0,0000","0,010",,
Bis-tacrinedecoy30,9,"-12,0",0,1,9,0,"0,0115","0,0000",,"0,000","0,0000","0,012",,
2iodo-4tetrahydroacridindecoy24,10,"-12,0",0,1,10,0,"0,0128","0,0000",,"0,000","0,0000","0,013",,
2iodo-3tetrahydroacridindecoy39,11,"-11,9",0,1,11,0,"0,0141","0,0000",,"0,000","0,0000","0,014",,
2iodo-4tetrahydroacridindecoy22,12,"-11,8",0,1,12,0,"0,0154","0,0000",,"0,000","0,0000","0,015",,
4iodo-4tetrahydroacridindecoy8,13,"-11,8",0,1,13,0,"0,0166","0,0000",,"0,000","0,0000","0,017",,
Bis-tacrinedecoy31,14,"-11,8",0,1,14,0,"0,0179","0,0000",,"0,000","0,0000","0,018",,
4iodo-3tetrahydroacridindecoy2,15,"-11,7",0,1,15,0,"0,0192","0,0000",,"0,000","0,0000","0,019",,
4iodo-4tetrahydroacridindecoy19,16,"-11,7",0,1,16,0,"0,0205","0,0000",,"0,000","0,0000","0,020",,
4iodo-2tetrahydroacridindecoy33,17,"-11,7",0,1,17,0,"0,0218","0,0000",,"0,000","0,0000","0,022",,
2iodo-4tetrahydroacridindecoy47,18,"-11,6",0,1,18,0,"0,0230","0,0000",,"0,000","0,0000","0,023",,
2iodo-3tetrahydroacridindecoy22,19,"-11,6",0,1,19,0,"0,0243","0,0000",,"0,000","0,0000","0,024",,
4iodo-4tetrahydroacridindecoy18,20,"-11,5",0,1,20,0,"0,0256","0,0000",,"0,000","0,0000","0,026",,
4iodo-3tetrahydroacridindecoy50,21,"-11,5",0,1,21,0,"0,0269","0,0000",,"0,000","0,0000","0,027",,
Bis-tacrinedecoy17,22,"-11,5",0,1,22,0,"0,0282","0,0000",,"0,000","0,0000","0,028",,
Bis-tacrinedecoy50,23,"-11,5",0,1,23,0,"0,0294","0,0000",,"0,000","0,0000","0,029",,
2iodo-4tetrahydroacridindecoy10,24,"-11,4",0,1,24,0,"0,0307","0,0000",,"0,000","0,0000","0,031",,
4iodo-4tetrahydroacridindecoy30,25,"-11,4",0,1,25,0,"0,0320","0,0000",,"0,000","0,0000","0,032",,
4iodo-4tetrahydroacridindecoy20,26,"-11,4",0,1,26,0,"0,0333","0,0000",,"0,000","0,0000","0,033",,
2iodo-4tetrahydroacridindecoy1,27,"-11,4",0,1,27,0,"0,0346","0,0000",,"0,000","0,0000","0,035",,
4iodo-4tetrahydroacridindecoy16,28,"-11,3",0,1,28,0,"0,0359","0,0000",,"0,000","0,0000","0,036",,
Bis-tacrinedecoy13,29,"-11,3",0,1,29,0,"0,0371","0,0000",,"0,000","0,0000","0,037",,
2iodo-2tetrahydroacridindecoy19,30,"-11,3",0,1,30,0,"0,0384","0,0000",,"0,000","0,0000","0,038",,
Bis-tacrinedecoy8,31,"-11,3",0,1,31,0,"0,0397","0,0000",,"0,000","0,0000","0,040",,
2iodo-3tetrahydroacridindecoy40,32,"-11,3",0,1,32,0,"0,0410","0,0000",,"0,000","0,0000","0,041",,
4iodo-3tetrahydroacridindecoy29,33,"-11,3",0,1,33,0,"0,0423","0,0000",,"0,000","0,0000","0,042",,
2iodo-4tetrahydroacridindecoy23,34,"-11,3",0,1,34,0,"0,0435","0,0000",,"0,000","0,0000","0,044",,
Bis-tacrinedecoy33,35,"-11,3",0,1,35,0,"0,0448","0,0000",,"0,000","0,0000","0,045",,
2iodo-4tetrahydroacridindecoy7,36,"-11,2",0,1,36,0,"0,0461","0,0000",,"0,000","0,0000","0,046",,
3iodo-2tetrahydroacridindecoy39,37,"-11,2",0,1,37,0,"0,0474","0,0000",,"0,000","0,0000","0,047",,
2iodo-2tetrahydroacridindecoy39,38,"-11,2",0,1,38,0,"0,0487","0,0000",,"0,000","0,0000","0,049",,
Bis-tacrinedecoy18,39,"-11,2",0,1,39,0,"0,0499","0,0000",,"0,000","0,0000","0,050",,
2iodo-3tetrahydroacridindecoy20,40,"-11,2",0,1,40,0,"0,0512","0,0000",,"0,000","0,0000","0,051",,
4iodo-3tetrahydroacridindecoy12,41,"-11,2",0,1,41,0,"0,0525","0,0000",,"0,000","0,0000","0,052",,
Bis-tacrinedecoy38,42,"-11,2",0,1,42,0,"0,0538","0,0000",,"0,000","0,0000","0,054",,
Bis-tacrinedecoy16,43,"-11,1",0,1,43,0,"0,0551","0,0000",,"0,000","0,0000","0,055",,
Bis-tacrinedecoy40,44,"-11,1",0,1,44,0,"0,0563","0,0000",,"0,000","0,0000","0,056",,
