Ligand,Ordem,Affinity,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
Bis-tacrinedecoy16,1,"-12,2",0,1,1,0,"0,001","0,000",,"0,000","0,0000","0,001",,
Bis-tacrine,2,"-11,9",1,0,1,1,"0,003","0,063",,"0,500","24,4057","0,003",,
2iodo-3tetrahydroacridindecoy40,3,"-11,8",0,1,2,1,"0,004","0,063",,"0,333","16,2705","0,004",,
2iodo-4tetrahydroacridindecoy6,4,"-11,8",0,1,3,1,"0,005","0,063",,"0,250","12,2029","0,005",,
2iodo-4tetrahydroacridindecoy43,5,"-11,5",0,1,4,1,"0,006","0,063",,"0,200","9,7623","0,006",,
4iodo-4tetrahydroacridindecoy18,6,"-11,5",0,1,5,1,"0,008","0,063",,"0,167","8,1352","0,008",,
4iodo-2tetrahydroacridindecoy48,7,"-11,4",0,1,6,1,"0,009","0,063",,"0,143","6,9731","0,009",,
4iodo-4tetrahydroacridindecoy17,8,"-11,4",0,1,7,1,"0,010","0,063",,"0,125","6,1014","0,010",,
4iodo-4tetrahydroacridindecoy4,9,"-11,3",0,1,8,1,"0,012","0,063",,"0,111","5,4235","0,012",,
4iodo-3tetrahydroacridindecoy28,10,"-11,3",0,1,9,1,"0,013","0,063",,"0,100","4,8811","0,013",,
2iodo-4tetrahydroacridindecoy24,11,"-11,3",0,1,10,1,"0,014","0,063",,"0,091","4,4374","0,014",,
3iodo-2tetrahydroacridindecoy49,12,"-11,3",0,1,11,1,"0,015","0,063",,"0,083","4,0676","0,015",,
4iodo-4tetrahydroacridindecoy50,13,"-11,2",0,1,12,1,"0,017","0,063",,"0,077","3,7547","0,017",,
2iodo-4tetrahydroacridindecoy28,14,"-11,2",0,1,13,1,"0,018","0,063",,"0,071","3,4865","0,018",,
3iodo-2tetrahydroacridindecoy48,15,"-11,2",0,1,14,1,"0,019","0,063",,"0,067","3,2541","0,019",,
4iodo-3tetrahydroacridindecoy39,16,"-11,2",0,1,15,1,"0,020","0,063",,"0,063","3,0507","0,020",,
2iodo-2tetrahydroacridindecoy47,17,"-11,2",0,1,16,1,"0,022","0,063",,"0,059","2,8713","0,022",,
Bis-tacrinedecoy15,18,"-11,1",0,1,17,1,"0,023","0,063",,"0,056","2,7117","0,023",,
2iodo-3tetrahydroacridindecoy20,19,"-11,1",0,1,18,1,"0,024","0,063",,"0,053","2,5690","0,024",,
4iodo-4tetrahydroacridindecoy20,20,"-11,0",0,1,19,1,"0,026","0,063",,"0,050","2,4406","0,026",,
Bis-tacrinedecoy14,21,"-11,0",0,1,20,1,"0,027","0,063",,"0,048","2,3244","0,027",,
4iodo-3tetrahydroacridindecoy50,22,"-11,0",0,1,21,1,"0,028","0,063",,"0,045","2,2187","0,028",,
2iodo-4tetrahydroacridindecoy21,23,"-10,9",0,1,22,1,"0,029","0,063",,"0,043","2,1222","0,029",,
4iodo-2tetrahydroacridindecoy13,24,"-10,9",0,1,23,1,"0,031","0,063",,"0,042","2,0338","0,031",,
4iodo-3tetrahydroacridindecoy41,25,"-10,9",0,1,24,1,"0,032","0,063",,"0,040","1,9525","0,032",,
Bis-tacrinedecoy46,26,"-10,9",0,1,25,1,"0,033","0,063",,"0,038","1,8774","0,033",,
2iodo-2tetrahydroacridindecoy37,27,"-10,9",0,1,26,1,"0,035","0,063",,"0,037","1,8078","0,035",,
2iodo-3tetrahydroacridindecoy19,28,"-10,9",0,1,27,1,"0,036","0,063",,"0,036","1,7433","0,036",,
4iodo-3tetrahydroacridindecoy14,29,"-10,8",0,1,28,1,"0,037","0,063",,"0,034","1,6832","0,037",,
Heptyl-physostigminedecoy36,30,"-10,8",0,1,29,1,"0,038","0,063",,"0,033","1,6270","0,038",,
4iodo-4tetrahydroacridindecoy45,31,"-10,8",0,1,30,2,"0,040","0,125",,"0,065","3,1491","0,040",,
