Ligand,ordem,Affinity_mean,Positivos,Decoys,Tdecoys,Tpositivos,FP,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
Bis-tacrinedecoy16,1,"-12,0",0,1,1,0,,"0,001","0,000",,"0,000","0,0000","0,001",,
Bis-tacrine,2,"-11,9",1,0,1,1,,"0,003","0,063",,"0,500","24,4057","0,003",,
2iodo-3tetrahydroacridindecoy40,3,"-11,7",0,1,2,1,,"0,004","0,063",,"0,333","16,2705","0,004",,
4iodo-2tetrahydroacridindecoy48,4,"-11,3",0,1,3,1,,"0,005","0,063",,"0,250","12,2029","0,005",,
2iodo-4tetrahydroacridindecoy6,5,"-11,2",0,1,4,1,,"0,006","0,063",,"0,200","9,7623","0,006",,
2iodo-4tetrahydroacridindecoy43,6,"-11,2",0,1,5,1,,"0,008","0,063",,"0,167","8,1352","0,008",,
4iodo-4tetrahydroacridindecoy18,7,"-11,2",0,1,6,1,,"0,009","0,063",,"0,143","6,9731","0,009",,
4iodo-4tetrahydroacridindecoy17,8,"-11,1",0,1,7,1,,"0,010","0,063",,"0,125","6,1014","0,010",,
4iodo-3tetrahydroacridindecoy28,9,"-11,1",0,1,8,1,,"0,012","0,063",,"0,111","5,4235","0,012",,
2iodo-4tetrahydroacridindecoy24,10,"-11,1",0,1,9,1,,"0,013","0,063",,"0,100","4,8811","0,013",,
4iodo-4tetrahydroacridindecoy4,11,"-11,0",0,1,10,1,,"0,014","0,063",,"0,091","4,4374","0,014",,
3iodo-2tetrahydroacridindecoy49,12,"-11,0",0,1,11,1,,"0,015","0,063",,"0,083","4,0676","0,015",,
2iodo-4tetrahydroacridindecoy28,13,"-11,0",0,1,12,1,,"0,017","0,063",,"0,077","3,7547","0,017",,
3iodo-2tetrahydroacridindecoy48,14,"-10,9",0,1,13,1,,"0,018","0,063",,"0,071","3,4865","0,018",,
4iodo-4tetrahydroacridindecoy20,15,"-10,9",0,1,14,1,,"0,019","0,063",,"0,067","3,2541","0,019",,
Bis-tacrinedecoy15,16,"-10,9",0,1,15,1,,"0,020","0,063",,"0,063","3,0507","0,020",,
4iodo-3tetrahydroacridindecoy39,17,"-10,8",0,1,16,1,,"0,022","0,063",,"0,059","2,8713","0,022",,
