Ligand,Ordem,Affinity,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
Bis-tacrinedecoy16,1,"-13,7",0,1,1,0,"0,0013","0,000",,"0,000","0,0000","0,0013",,
2iodo-4tetrahydroacridindecoy18,2,"-13,5",0,1,2,0,"0,0026","0,000",,"0,000","0,0000","0,0026",,
2iodo-3tetrahydroacridindecoy40,3,"-13,1",0,1,3,0,"0,0038","0,000",,"0,000","0,0000","0,0038",,
2iodo-4tetrahydroacridindecoy16,4,"-13,0",0,1,4,0,"0,0051","0,000",,"0,000","0,0000","0,0051",,
4iodo-3tetrahydroacridindecoy13,5,"-12,8",0,1,5,0,"0,0064","0,000",,"0,000","0,0000","0,0064",,
4iodo-3tetrahydroacridindecoy14,6,"-12,6",0,1,6,0,"0,0077","0,000",,"0,000","0,0000","0,0077",,
2iodo-4tetrahydroacridindecoy19,7,"-12,6",0,1,7,0,"0,0090","0,000",,"0,000","0,0000","0,0090",,
2iodo-4tetrahydroacridindecoy28,8,"-12,6",0,1,8,0,"0,0102","0,000",,"0,000","0,0000","0,0102",,
4iodo-4tetrahydroacridindecoy45,9,"-12,6",0,1,9,0,"0,0115","0,000",,"0,000","0,0000","0,0115",,
4iodo-4tetrahydroacridindecoy3,10,"-12,5",0,1,10,0,"0,0128","0,000",,"0,000","0,0000","0,0128",,
2iodo-4tetrahydroacridindecoy43,11,"-12,4",0,1,11,0,"0,0141","0,000",,"0,000","0,0000","0,0141",,
Bis-tacrinedecoy28,12,"-12,3",0,1,12,0,"0,0154","0,000",,"0,000","0,0000","0,0154",,
Bis-tacrinedecoy23,13,"-12,3",0,1,13,0,"0,0166","0,000",,"0,000","0,0000","0,0166",,
2iodo-2tetrahydroacridindecoy39,14,"-12,3",0,1,14,0,"0,0179","0,000",,"0,000","0,0000","0,0179",,
2iodo-4tetrahydroacridindecoy6,15,"-12,2",0,1,15,0,"0,0192","0,000",,"0,000","0,0000","0,0192",,
