Compound,AChE,EcNR,JHBP,MET,GABAaR-Ago,GABAaR-Ant,OctpR-Ago,OctpR-Ant
ZINC968468,3.2942105314455596,3.3576871953212715,3.8819738702848907,4.47625215109314,3.205427388334714,2.3006727824557296,4.37423511954787,2.393025388396824
ZINC968230,2.4818168092206685,2.5530655868882035,3.635760799645742,4.264446502391175,2.6259602156387287,1.9461943240103796,4.08294827071625,2.6207507846370244
ZINC968225,2.78669901929862,2.819551856529362,4.008641041504569,4.70096015270227,2.906815877604336,2.0089983894442023,4.541092834567595,2.703151457461804
ZINC967595,2.745447880591123,2.839177903775875,3.749052988599021,4.304925245861758,2.803830394780909,2.246762763937368,3.9627001266040596,2.361977327849596
ZINC967582,2.5146636872710215,2.5818972308737136,3.6984362256364136,4.337127965570227,2.6543577517644574,1.9549642133003935,4.137836160225377,2.6231171823838917
ZINC967579,2.543839882872636,2.5956705232603263,3.735228684376569,4.389612374499921,2.6647314800603943,1.910301067977032,4.196968936663894,2.6341513469256856
ZINC967566,2.6279004489996067,2.697362276752026,3.80210772421195,4.394682872877026,2.7584121087477596,2.128713700784356,4.059039672506259,2.51523337167448
ZINC967513,2.8388790671252764,2.8419239289267577,4.115791588321473,4.833665897982177,2.94033379266471,1.9394792425370753,4.655234348364221,2.7163041388306266
ZINC86034080,2.7835408030350917,2.794792361064553,4.063876164989875,4.781149645036424,2.865975809025891,1.9036962480600579,4.5926212354972975,2.6945595975213497
ZINC85644544,2.3046848316499915,2.4799161203709454,3.274132303751669,3.761933437259171,2.478695646037275,2.2673704241470443,3.4389540301940493,2.2369904507580975
ZINC8418983,2.8350906380066263,2.836286227912537,4.090684096720185,4.801193010270593,2.9384199742591997,1.9405218755186293,4.630205791688455,2.6974711286704816
ZINC8234293,3.319500522686887,3.330753470982722,3.8823652881263606,4.496662052661785,3.2196034001094107,2.1264064632953854,4.457982321995937,2.367399731365321
ZINC8234282,2.503187839354243,2.602484104972263,3.241201676885438,3.7919982004186488,2.5659702786796244,1.9390409306668133,3.7172583042247416,2.1300170926497497
ZINC8220462,3.1754042216708194,3.2271444635262037,3.73456234157469,4.3353081365081945,3.101531594852077,2.1205480796508027,4.309677519295261,2.3614901667315484
ZINC70454368,3.3503142685345013,3.3828911262941284,3.9457141450045077,4.543098038548777,3.25211464495978,2.2602460495884404,4.434388436373516,2.368018777176358
ZINC70451257,3.359987359147695,3.34617425544623,3.9364467845239868,4.551340432760158,3.1849591337933965,2.1099406147246897,4.449125452028677,2.410460642596693
ZINC70450851,3.253688454893478,3.288132659658083,3.828104095120052,4.440460373189747,3.1674199017578824,2.1466791406762487,4.402054138306906,2.3632684159710458
ZINC64624831,3.1800834256448898,3.231272322277693,3.7164718480888834,4.309205768225899,3.1044292449128936,2.1484179795418714,4.2818339223265,2.3766052528972574
ZINC62237753,3.324938217318057,3.3215146098171044,3.8271489619373638,4.4190721805553626,3.2165882337333036,2.052729384041318,4.388050220317685,2.2375847308658523
ZINC59778864,3.1768023255809843,3.2885124022538017,3.777156370596832,4.3464212598359815,3.1689264252825606,2.42639932722343,4.233343210117153,2.4134809549651166
ZINC59778407,3.3608284919676614,3.405291808620744,3.945706076442394,4.534431118051263,3.2848865063734425,2.3220505955707407,4.4294739082328025,2.3540384615779444
ZINC59587341,3.2997585589429175,3.3098878609362092,3.849435300513341,4.454882920485751,3.204476500521748,2.1162634492152943,4.421192658357684,2.3466851426535564
