Ligand,Receptor,Affinity1,Affinity2,Affinity3
CadeiaC14,lcUSP1,-7.55187,-7.2338,-7.06628
CadeiaC14,lcUSP2,-7.57209,-6.99969,-6.99321
CadeiaC14,lcUSP3,-7.15325,-7.14594,-7.12207
CadeiaC16,lcUSP1,-7.63592,-7.55026,-7.46221
CadeiaC16,lcUSP2,-7.50902,-7.38964,-6.95884
CadeiaC16,lcUSP3,-7.58677,-7.53444,-7.27157
CadeiaC18,lcUSP1,-8.11401,-8.10421,-8.02799
CadeiaC18,lcUSP2,-8.31852,-8.19855,-8.17022
CadeiaC18,lcUSP3,-8.32144,-8.04595,-7.64319
EPH,lcUSP1,-10.67299,-10.46893,-10.25886
EPH,lcUSP2,-10.35292,-9.91548,-9.69591
EPH,lcUSP3,-10.917,-10.82545,-10.18765
EPHcadeia1,lcUSP1,-7.79233,-7.49808,-7.42864
EPHcadeia1,lcUSP2,-7.50823,-7.45378,-7.39402
EPHcadeia1,lcUSP3,-8.00059,-7.16691,-7.09459
EPHcadeia2,lcUSP1,-8.13981,-7.99919,-7.88457
EPHcadeia2,lcUSP2,-8.17849,-7.81475,-7.70408
EPHcadeia2,lcUSP3,-8.0378,-7.95948,-7.67768
JH-IIIester,lcUSP1,-7.64001,-7.27099,-7.17176
JH-IIIester,lcUSP2,-7.34167,-6.86366,-6.81826
JH-IIIester,lcUSP3,-6.95749,-6.64196,-6.4519
JHIIIesterDecoy1,lcUSP1,-7.73721,-7.43481,-6.84035
JHIIIesterDecoy1,lcUSP2,-7.39777,-7.22094,-7.0568
JHIIIesterDecoy1,lcUSP3,-7.89748,-7.89426,-7.78827
JHIIIesterDecoy10,lcUSP1,-6.01335,-5.91495,-5.86659
JHIIIesterDecoy10,lcUSP2,-6.29416,-5.95994,-5.86631
JHIIIesterDecoy10,lcUSP3,-6.1477,-6.05919,-5.9412
JHIIIesterDecoy11,lcUSP1,-7.00356,-6.49395,-6.47604
JHIIIesterDecoy11,lcUSP2,-7.11233,-6.86245,-6.5673
JHIIIesterDecoy11,lcUSP3,-6.02499,-6.01187,-5.96471
JHIIIesterDecoy12,lcUSP1,-7.06569,-7.04496,-6.94251
JHIIIesterDecoy12,lcUSP2,-7.017,-6.59418,-6.57057
JHIIIesterDecoy12,lcUSP3,-6.75148,-6.66003,-6.6467
JHIIIesterDecoy13,lcUSP1,-7.41458,-7.20472,-7.05974
JHIIIesterDecoy13,lcUSP2,-7.46375,-7.42624,-7.24656
JHIIIesterDecoy13,lcUSP3,-7.97547,-7.95046,-7.81675
JHIIIesterDecoy14,lcUSP1,-8.42931,-8.15301,-8.10345
JHIIIesterDecoy14,lcUSP2,-8.09387,-8.00561,-7.93456
JHIIIesterDecoy14,lcUSP3,-7.90462,-7.69107,-7.6151
JHIIIesterDecoy15,lcUSP1,-7.8546,-7.10736,-7.05523
JHIIIesterDecoy15,lcUSP2,-7.56615,-7.42932,-7.08097
JHIIIesterDecoy15,lcUSP3,-7.30564,-7.19133,-7.10713
JHIIIesterDecoy16,lcUSP1,-5.29568,-5.2775,-5.23761
JHIIIesterDecoy16,lcUSP2,-5.5125,-5.26949,-5.07465
JHIIIesterDecoy16,lcUSP3,-5.05751,-4.96832,-4.85529
JHIIIesterDecoy17,lcUSP1,-7.15784,-6.99526,-6.77657
JHIIIesterDecoy17,lcUSP2,-6.98681,-6.87177,-6.703
JHIIIesterDecoy17,lcUSP3,-7.12878,-6.87609,-6.80959
JHIIIesterDecoy18,lcUSP1,-8.37255,-8.36227,-8.20645
JHIIIesterDecoy18,lcUSP2,-8.06934,-7.9546,-7.90428
JHIIIesterDecoy18,lcUSP3,-8.38198,-8.11891,-7.97216
JHIIIesterDecoy19,lcUSP1,-7.16785,-6.88622,-6.75507
JHIIIesterDecoy19,lcUSP2,-7.29969,-6.97944,-6.97296
JHIIIesterDecoy19,lcUSP3,-7.63554,-7.62392,-7.54222
