Ligand,Affinity1
CadeiaC14,-7.425736666666666
CadeiaC16,-7.577236666666667
CadeiaC18,-8.251323333333334
EPH,-10.647636666666665
EPHcadeia1,-7.76705
EPHcadeia2,-8.1187
JH-IIIester,-7.313056666666667
JHIIIesterDecoy1,-7.677486666666667
JHIIIesterDecoy10,-6.151736666666667
JHIIIesterDecoy11,-6.713626666666666
JHIIIesterDecoy12,-6.944723333333333
JHIIIesterDecoy13,-7.617933333333333
JHIIIesterDecoy14,-8.1426
JHIIIesterDecoy15,-7.575463333333334
JHIIIesterDecoy16,-5.288563333333333
JHIIIesterDecoy17,-7.091143333333334
JHIIIesterDecoy18,-8.274623333333333
JHIIIesterDecoy19,-7.3676933333333325
JHIIIesterDecoy2,-6.3973
JHIIIesterDecoy20,-7.7931799999999996
JHIIIesterDecoy21,-7.692983333333333
JHIIIesterDecoy22,-5.866786666666667
JHIIIesterDecoy23,-6.251640000000001
JHIIIesterDecoy24,-5.243826666666667
JHIIIesterDecoy25,-6.41063
JHIIIesterDecoy26,-6.81071
JHIIIesterDecoy27,-6.710106666666667
JHIIIesterDecoy28,-5.30199
JHIIIesterDecoy29,-5.943133333333333
JHIIIesterDecoy3,-7.18236
JHIIIesterDecoy30,-6.69795
JHIIIesterDecoy31,-7.796036666666667
JHIIIesterDecoy32,-6.110296666666667
JHIIIesterDecoy33,-8.253986666666668
JHIIIesterDecoy34,-8.82443
JHIIIesterDecoy35,-7.22936
JHIIIesterDecoy36,-6.912400000000001
JHIIIesterDecoy37,-6.550526666666666
JHIIIesterDecoy38,-7.303716666666666
JHIIIesterDecoy39,-8.004253333333333
JHIIIesterDecoy4,-8.36178
JHIIIesterDecoy40,-6.875926666666667
JHIIIesterDecoy41,-6.90109
JHIIIesterDecoy42,-6.86165
JHIIIesterDecoy43,-5.791783333333334
JHIIIesterDecoy44,-5.1198533333333325
JHIIIesterDecoy45,-6.984073333333334
JHIIIesterDecoy46,-6.409713333333333
JHIIIesterDecoy47,-6.324623333333332
JHIIIesterDecoy48,-5.686103333333333
JHIIIesterDecoy49,-8.29219
JHIIIesterDecoy5,-7.460193333333334
JHIIIesterDecoy50,-7.842536666666667
JHIIIesterDecoy6,-7.262813333333334
JHIIIesterDecoy7,-7.4415266666666655
JHIIIesterDecoy8,-6.6850233333333335
JHIIIesterDecoy9,-6.808866666666667
LPP,-10.293923333333334
LPPcadeia1,-7.775663333333333
LPPcadeia2,-7.642386666666667
PhosphatidylethanolamineC160C181,-10.591776666666666
PhosphatidylethanolamineC181C160,-10.744376666666668
PhosphatidylethanolamineC181C181,-11.021566666666667
PhosphatidylglycerolC140C160,-10.155016666666667
PhosphatidylglycerolC160C140,-10.359403333333333
PhosphatidylglycerolC160C181,-11.045913333333333
PhosphatidylglycerolC181C160,-11.006286666666668
acidograxoC140,-7.360939999999999
acidograxoC160,-7.790793333333333
acidograxoC181,-8.317833333333333
fattyacidsDecoy1,-10.694096666666667
fattyacidsDecoy100,-10.761093333333335
fattyacidsDecoy1005,-11.142629999999999
fattyacidsDecoy1006,-10.996339999999998
fattyacidsDecoy1007,-10.186793333333334
fattyacidsDecoy1008,-11.005806666666667
fattyacidsDecoy101,-10.88461
fattyacidsDecoy1018,-11.32006
fattyacidsDecoy102,-11.586709999999998
fattyacidsDecoy1020,-9.066973333333333
fattyacidsDecoy1037,-10.570936666666666
fattyacidsDecoy1042,-10.17535
fattyacidsDecoy1043,-9.84188
fattyacidsDecoy1046,-11.34238
fattyacidsDecoy1051,-9.913133333333333
fattyacidsDecoy1052,-11.039103333333335
fattyacidsDecoy1055,-11.448236666666666
fattyacidsDecoy1056,-11.129936666666666
fattyacidsDecoy1057,-10.737916666666665
fattyacidsDecoy1059,-10.49459
fattyacidsDecoy1060,-9.519216666666667
fattyacidsDecoy1061,-10.94377
fattyacidsDecoy1064,-10.344333333333333
fattyacidsDecoy1065,-11.211806666666666
fattyacidsDecoy107,-10.83092
fattyacidsDecoy1077,-10.811663333333334
fattyacidsDecoy108,-10.499573333333332
fattyacidsDecoy1080,-10.698806666666668
fattyacidsDecoy1081,-12.343586666666667
fattyacidsDecoy1083,-10.264693333333334
fattyacidsDecoy1085,-12.441596666666667
fattyacidsDecoy1086,-10.825000000000001
fattyacidsDecoy1087,-11.341273333333334
fattyacidsDecoy1089,-9.657173333333333
fattyacidsDecoy1090,-9.397296666666668
fattyacidsDecoy1091,-9.713193333333335
fattyacidsDecoy1092,-10.46786
fattyacidsDecoy1094,-10.002143333333334
fattyacidsDecoy1095,-12.202326666666666
fattyacidsDecoy1096,-11.39682
fattyacidsDecoy1097,-11.371686666666667
fattyacidsDecoy1098,-10.52688
fattyacidsDecoy1099,-10.737316666666667
fattyacidsDecoy110,-11.88071
fattyacidsDecoy1103,-10.313229999999999
fattyacidsDecoy1105,-9.938206666666668
fattyacidsDecoy1109,-10.63605
fattyacidsDecoy1113,-11.27012
fattyacidsDecoy1118,-10.778786666666667
fattyacidsDecoy112,-10.698273333333333
fattyacidsDecoy1122,-10.285316666666667
fattyacidsDecoy1124,-10.00772
fattyacidsDecoy1125,-10.781296666666668
fattyacidsDecoy1126,-9.807356666666665
fattyacidsDecoy1127,-10.367043333333333
