Summary of successfully produced models:
Filename;molpdf;DOPE score;GA341 score
MetTolLcuprina.B99990001.pdb;816.23267;-11001,05371;0,87389
MetTolLcuprina.B99990002.pdb;812.99780;-11034,99805;0,56255
MetTolLcuprina.B99990003.pdb;886.15472;-11077,46094;0,82374
MetTolLcuprina.B99990004.pdb;818.73492;-11116,83887;0,76529
MetTolLcuprina.B99990005.pdb;805.43616;-11245,47363;0,71693
MetTolLcuprina.B99990006.pdb;795.04248;-11182,62695;0,67671
MetTolLcuprina.B99990007.pdb;997.39209;-10668,95996;0,76559
MetTolLcuprina.B99990008.pdb;990.54968;-11082,36816;0,90826
MetTolLcuprina.B99990009.pdb;930.49945;-10914,36328;0,67355
MetTolLcuprina.B99990010.pdb;787.98767;-11311,29102;0,73896
